Year,Industry_aggregation_NZSIOC,Industry_code_NZSIOC,Industry_name_NZSIOC,Units,Variable_code,Variable_name,Variable_category,Value,Industry_code_ANZSIC06,value_x10
2023,Level 1,99999,All industries,Dollars (millions),H32,Current liabilities,Financial position,1074693,"ANZSIC06 divisions A-S (excluding classes K6330, L6711, O7552, O760, O771, O772, S9540, S9601, S9602, and S9603)",1074693107469310746931074693107469310746931074693107469310746931074693
2023,Level 1,99999,All industries,Dollars (millions),H33,Other liabilities,Financial position,799791,"ANZSIC06 divisions A-S (excluding classes K6330, L6711, O7552, O760, O771, O772, S9540, S9601, S9602, and S9603)",799791799791799791799791799791799791799791799791799791799791
2023,Level 1,99999,All industries,Dollars,H34,Total income per employee count,Financial ratios,464600,"ANZSIC06 divisions A-S (excluding classes K6330, L6711, O7552, O760, O771, O772, S9540, S9601, S9602, and S9603)",464600464600464600464600464600464600464600464600464600464600
2023,Level 1,99999,All industries,Dollars,H35,Surplus per employee count,Financial ratios,52600,"ANZSIC06 divisions A-S (excluding classes K6330, L6711, O7552, O760, O771, O772, S9540, S9601, S9602, and S9603)",52600526005260052600526005260052600526005260052600
2023,Level 1,99999,All industries,Percentage,H36,Current ratio,Financial ratios,80,"ANZSIC06 divisions A-S (excluding classes K6330, L6711, O7552, O760, O771, O772, S9540, S9601, S9602, and S9603)",80808080808080808080
2023,Level 1,99999,All industries,Percentage,H37,Quick ratio,Financial ratios,72,"ANZSIC06 divisions A-S (excluding classes K6330, L6711, O7552, O760, O771, O772, S9540, S9601, S9602, and S9603)",72727272727272727272
2023,Level 1,99999,All industries,Percentage,H39,Return on equity,Financial ratios,11,"ANZSIC06 divisions A-S (excluding classes K6330, L6711, O7552, O760, O771, O772, S9540, S9601, S9602, and S9603)",11111111111111111111
2023,Level 1,99999,All industries,Percentage,H40,Return on total assets,Financial ratios,4,"ANZSIC06 divisions A-S (excluding classes K6330, L6711, O7552, O760, O771, O772, S9540, S9601, S9602, and S9603)",4444444444
2023,Level 1,99999,All industries,Percentage,H41,Liabilities structure,Financial ratios,34,"ANZSIC06 divisions A-S (excluding classes K6330, L6711, O7552, O760, O771, O772, S9540, S9601, S9602, and S9603)",34343434343434343434
2023,Level 1,AA,"Agriculture, Forestry and Fishing",Dollars (millions),H01,Total income,Financial performance,54462,ANZSIC06 division A,54462544625446254462544625446254462544625446254462
2023,Level 1,AA,"Agriculture, Forestry and Fishing",Dollars (millions),H04,Sales of goods and services,Financial performance,51472,ANZSIC06 division A,51472514725147251472514725147251472514725147251472
2023,Level 1,AA,"Agriculture, Forestry and Fishing",Dollars (millions),H05,"Interest, dividends and donations",Financial performance,893,ANZSIC06 division A,893893893893893893893893893893
2023,Level 1,AA,"Agriculture, Forestry and Fishing",Dollars (millions),H06,"Government funding, grants and subsidies",Financial performance,15,ANZSIC06 division A,15151515151515151515
2023,Level 1,AA,"Agriculture, Forestry and Fishing",Dollars (millions),H07,Non-operating income,Financial performance,2081,ANZSIC06 division A,2081208120812081208120812081208120812081
2023,Level 1,AA,"Agriculture, Forestry and Fishing",Dollars (millions),H08,Total expenditure,Financial performance,48377,ANZSIC06 division A,48377483774837748377483774837748377483774837748377
2023,Level 1,AA,"Agriculture, Forestry and Fishing",Dollars (millions),H09,Interest and donations,Financial performance,3641,ANZSIC06 division A,3641364136413641364136413641364136413641
2023,Level 1,AA,"Agriculture, Forestry and Fishing",Dollars (millions),H10,Indirect taxes,Financial performance,517,ANZSIC06 division A,517517517517517517517517517517
2023,Level 1,AA,"Agriculture, Forestry and Fishing",Dollars (millions),H11,Depreciation,Financial performance,2582,ANZSIC06 division A,2582258225822582258225822582258225822582
2023,Level 1,AA,"Agriculture, Forestry and Fishing",Dollars (millions),H12,Salaries and wages paid,Financial performance,6858,ANZSIC06 division A,6858685868586858685868586858685868586858
2023,Level 1,AA,"Agriculture, Forestry and Fishing",Dollars (millions),H13,Redundancy and severance,Financial performance,2,ANZSIC06 division A,2222222222
2023,Level 1,AA,"Agriculture, Forestry and Fishing",Dollars (millions),H19,Purchases and other operating expenses,Financial performance,33623,ANZSIC06 division A,33623336233362333623336233362333623336233362333623
2023,Level 1,AA,"Agriculture, Forestry and Fishing",Dollars (millions),H20,Non-operating expenses,Financial performance,1156,ANZSIC06 division A,1156115611561156115611561156115611561156
2023,Level 1,AA,"Agriculture, Forestry and Fishing",Dollars (millions),H21,Opening stocks,Financial performance,14144,ANZSIC06 division A,14144141441414414144141441414414144141441414414144
2023,Level 1,AA,"Agriculture, Forestry and Fishing",Dollars (millions),H22,Closing stocks,Financial performance,14606,ANZSIC06 division A,14606146061460614606146061460614606146061460614606
2023,Level 1,AA,"Agriculture, Forestry and Fishing",Dollars (millions),H23,Surplus before income tax,Financial performance,6547,ANZSIC06 division A,6547654765476547654765476547654765476547
2023,Level 1,AA,"Agriculture, Forestry and Fishing",Dollars (millions),H24,Total assets,Financial position,213128,ANZSIC06 division A,213128213128213128213128213128213128213128213128213128213128
2023,Level 1,AA,"Agriculture, Forestry and Fishing",Dollars (millions),H25,Current assets,Financial position,38087,ANZSIC06 division A,38087380873808738087380873808738087380873808738087
2023,Level 1,AA,"Agriculture, Forestry and Fishing",Dollars (millions),H26,Fixed tangible assets,Financial position,123770,ANZSIC06 division A,123770123770123770123770123770123770123770123770123770123770
2023,Level 1,AA,"Agriculture, Forestry and Fishing",Dollars (millions),H29,Other assets,Financial position,51271,ANZSIC06 division A,51271512715127151271512715127151271512715127151271
2023,Level 1,AA,"Agriculture, Forestry and Fishing",Dollars (millions),H30,Total equity and liabilities,Financial position,213128,ANZSIC06 division A,213128213128213128213128213128213128213128213128213128213128
2023,Level 1,AA,"Agriculture, Forestry and Fishing",Dollars (millions),H31,Shareholders funds or owners equity,Financial position,105972,ANZSIC06 division A,105972105972105972105972105972105972105972105972105972105972
2023,Level 1,AA,"Agriculture, Forestry and Fishing",Dollars (millions),H32,Current liabilities,Financial position,37086,ANZSIC06 division A,37086370863708637086370863708637086370863708637086
2023,Level 1,AA,"Agriculture, Forestry and Fishing",Dollars (millions),H33,Other liabilities,Financial position,70070,ANZSIC06 division A,70070700707007070070700707007070070700707007070070
2023,Level 1,AA,"Agriculture, Forestry and Fishing",Dollars,H34,Total income per employee count,Financial ratios,485000,ANZSIC06 division A,485000485000485000485000485000485000485000485000485000485000
2023,Level 1,AA,"Agriculture, Forestry and Fishing",Dollars,H35,Surplus per employee count,Financial ratios,58300,ANZSIC06 division A,58300583005830058300583005830058300583005830058300
2023,Level 1,AA,"Agriculture, Forestry and Fishing",Percentage,H36,Current ratio,Financial ratios,103,ANZSIC06 division A,103103103103103103103103103103
2023,Level 1,AA,"Agriculture, Forestry and Fishing",Percentage,H37,Quick ratio,Financial ratios,63,ANZSIC06 division A,63636363636363636363
2023,Level 1,AA,"Agriculture, Forestry and Fishing",Percentage,H39,Return on equity,Financial ratios,6,ANZSIC06 division A,6666666666
2023,Level 1,AA,"Agriculture, Forestry and Fishing",Percentage,H40,Return on total assets,Financial ratios,3,ANZSIC06 division A,3333333333
2023,Level 1,AA,"Agriculture, Forestry and Fishing",Percentage,H41,Liabilities structure,Financial ratios,50,ANZSIC06 division A,50505050505050505050
2023,Level 3,AA11,Horticulture and Fruit Growing,Dollars (millions),H01,Total income,Financial performance,6011,"ANZSIC06 groups A011, A012, and A013",6011601160116011601160116011601160116011
2023,Level 3,AA11,Horticulture and Fruit Growing,Dollars (millions),H04,"Sales, government funding, grants and subsidies",Financial performance,5410,"ANZSIC06 groups A011, A012, and A013",5410541054105410541054105410541054105410
2023,Level 3,AA11,Horticulture and Fruit Growing,Dollars (millions),H05,"Interest, dividends and donations",Financial performance,193,"ANZSIC06 groups A011, A012, and A013",193193193193193193193193193193
2023,Level 3,AA11,Horticulture and Fruit Growing,Dollars (millions),H07,Non-operating income,Financial performance,408,"ANZSIC06 groups A011, A012, and A013",408408408408408408408408408408
2023,Level 3,AA11,Horticulture and Fruit Growing,Dollars (millions),H08,Total expenditure,Financial performance,5270,"ANZSIC06 groups A011, A012, and A013",5270527052705270527052705270527052705270
2023,Level 3,AA11,Horticulture and Fruit Growing,Dollars (millions),H09,Interest and donations,Financial performance,337,"ANZSIC06 groups A011, A012, and A013",337337337337337337337337337337
2023,Level 3,AA11,Horticulture and Fruit Growing,Dollars (millions),H10,Indirect taxes,Financial performance,43,"ANZSIC06 groups A011, A012, and A013",43434343434343434343
2023,Level 3,AA11,Horticulture and Fruit Growing,Dollars (millions),H11,Depreciation,Financial performance,376,"ANZSIC06 groups A011, A012, and A013",376376376376376376376376376376
2023,Level 3,AA11,Horticulture and Fruit Growing,Dollars (millions),H12,Salaries and wages paid,Financial performance,977,"ANZSIC06 groups A011, A012, and A013",977977977977977977977977977977
2023,Level 3,AA11,Horticulture and Fruit Growing,Dollars (millions),H13,Redundancy and severance,Financial performance,0,"ANZSIC06 groups A011, A012, and A013",0000000000
2023,Level 3,AA11,Horticulture and Fruit Growing,Dollars (millions),H19,Purchases and other operating expenses,Financial performance,3498,"ANZSIC06 groups A011, A012, and A013",3498349834983498349834983498349834983498
2023,Level 3,AA11,Horticulture and Fruit Growing,Dollars (millions),H20,Non-operating expenses,Financial performance,39,"ANZSIC06 groups A011, A012, and A013",39393939393939393939
2023,Level 3,AA11,Horticulture and Fruit Growing,Dollars (millions),H21,Opening stocks,Financial performance,395,"ANZSIC06 groups A011, A012, and A013",395395395395395395395395395395
2023,Level 3,AA11,Horticulture and Fruit Growing,Dollars (millions),H22,Closing stocks,Financial performance,438,"ANZSIC06 groups A011, A012, and A013",438438438438438438438438438438
2023,Level 3,AA11,Horticulture and Fruit Growing,Dollars (millions),H23,Surplus before income tax,Financial performance,784,"ANZSIC06 groups A011, A012, and A013",784784784784784784784784784784
2023,Level 3,AA11,Horticulture and Fruit Growing,Dollars (millions),H24,Total assets,Financial position,21791,"ANZSIC06 groups A011, A012, and A013",21791217912179121791217912179121791217912179121791
2023,Level 3,AA11,Horticulture and Fruit Growing,Dollars (millions),H25,Current assets,Financial position,3518,"ANZSIC06 groups A011, A012, and A013",3518351835183518351835183518351835183518
2023,Level 3,AA11,Horticulture and Fruit Growing,Dollars (millions),H26,Fixed tangible assets,Financial position,13836,"ANZSIC06 groups A011, A012, and A013",13836138361383613836138361383613836138361383613836
2023,Level 3,AA11,Horticulture and Fruit Growing,Dollars (millions),H29,Other assets,Financial position,4438,"ANZSIC06 groups A011, A012, and A013",4438443844384438443844384438443844384438
2023,Level 3,AA11,Horticulture and Fruit Growing,Dollars (millions),H30,Total equity and liabilities,Financial position,21791,"ANZSIC06 groups A011, A012, and A013",21791217912179121791217912179121791217912179121791
2023,Level 3,AA11,Horticulture and Fruit Growing,Dollars (millions),H31,Shareholders funds or owners equity,Financial position,10361,"ANZSIC06 groups A011, A012, and A013",10361103611036110361103611036110361103611036110361
2023,Level 3,AA11,Horticulture and Fruit Growing,Dollars (millions),H32,Current liabilities,Financial position,4237,"ANZSIC06 groups A011, A012, and A013",4237423742374237423742374237423742374237
2023,Level 3,AA11,Horticulture and Fruit Growing,Dollars (millions),H33,Other liabilities,Financial position,7193,"ANZSIC06 groups A011, A012, and A013",7193719371937193719371937193719371937193
2023,Level 3,AA11,Horticulture and Fruit Growing,Dollars,H34,Total income per employee count,Financial ratios,243600,"ANZSIC06 groups A011, A012, and A013",243600243600243600243600243600243600243600243600243600243600
2023,Level 3,AA11,Horticulture and Fruit Growing,Dollars,H35,Surplus per employee count,Financial ratios,31800,"ANZSIC06 groups A011, A012, and A013",31800318003180031800318003180031800318003180031800
2023,Level 3,AA11,Horticulture and Fruit Growing,Percentage,H36,Current ratio,Financial ratios,83,"ANZSIC06 groups A011, A012, and A013",83838383838383838383
2023,Level 3,AA11,Horticulture and Fruit Growing,Percentage,H37,Quick ratio,Financial ratios,73,"ANZSIC06 groups A011, A012, and A013",73737373737373737373
2023,Level 3,AA11,Horticulture and Fruit Growing,Percentage,H39,Return on equity,Financial ratios,8,"ANZSIC06 groups A011, A012, and A013",8888888888
2023,Level 3,AA11,Horticulture and Fruit Growing,Percentage,H40,Return on total assets,Financial ratios,4,"ANZSIC06 groups A011, A012, and A013",4444444444
2023,Level 3,AA11,Horticulture and Fruit Growing,Percentage,H41,Liabilities structure,Financial ratios,48,"ANZSIC06 groups A011, A012, and A013",48484848484848484848
2023,Level 4,AA111,Horticulture and Fruit Growing,Dollars (millions),H01,Total income,Financial performance,6011,"ANZSIC06 groups A011, A012, and A013",6011601160116011601160116011601160116011
2023,Level 4,AA111,Horticulture and Fruit Growing,Dollars (millions),H04,"Sales, government funding, grants and subsidies",Financial performance,5410,"ANZSIC06 groups A011, A012, and A013",5410541054105410541054105410541054105410
