Year,Industry_aggregation_NZSIOC,Industry_code_NZSIOC,Industry_name_NZSIOC,Units,Variable_code,Variable_name,Variable_category,Value,Industry_code_ANZSIC06,value_x10
2023,Level 1,99999,All industries,Dollars,H34,Total income per employee count,Financial ratios,464600.0,"ANZSIC06 divisions A-S (excluding classes K6330, L6711, O7552, O760, O771, O772, S9540, S9601, S9602, and S9603)",4646000.0
2023,Level 1,99999,All industries,Dollars,H35,Surplus per employee count,Financial ratios,52600.0,"ANZSIC06 divisions A-S (excluding classes K6330, L6711, O7552, O760, O771, O772, S9540, S9601, S9602, and S9603)",526000.0
2023,Level 1,99999,All industries,Percentage,H36,Current ratio,Financial ratios,80.0,"ANZSIC06 divisions A-S (excluding classes K6330, L6711, O7552, O760, O771, O772, S9540, S9601, S9602, and S9603)",800.0
2023,Level 1,99999,All industries,Percentage,H37,Quick ratio,Financial ratios,72.0,"ANZSIC06 divisions A-S (excluding classes K6330, L6711, O7552, O760, O771, O772, S9540, S9601, S9602, and S9603)",720.0
2023,Level 1,99999,All industries,Percentage,H39,Return on equity,Financial ratios,11.0,"ANZSIC06 divisions A-S (excluding classes K6330, L6711, O7552, O760, O771, O772, S9540, S9601, S9602, and S9603)",110.0
2023,Level 1,99999,All industries,Percentage,H40,Return on total assets,Financial ratios,4.0,"ANZSIC06 divisions A-S (excluding classes K6330, L6711, O7552, O760, O771, O772, S9540, S9601, S9602, and S9603)",40.0
2023,Level 1,99999,All industries,Percentage,H41,Liabilities structure,Financial ratios,34.0,"ANZSIC06 divisions A-S (excluding classes K6330, L6711, O7552, O760, O771, O772, S9540, S9601, S9602, and S9603)",340.0
2023,Level 1,AA,"Agriculture, Forestry and Fishing",Dollars (millions),H01,Total income,Financial performance,54462.0,ANZSIC06 division A,544620.0
2023,Level 1,AA,"Agriculture, Forestry and Fishing",Dollars (millions),H04,Sales of goods and services,Financial performance,51472.0,ANZSIC06 division A,514720.0
2023,Level 1,AA,"Agriculture, Forestry and Fishing",Dollars (millions),H05,"Interest, dividends and donations",Financial performance,893.0,ANZSIC06 division A,8930.0
2023,Level 1,AA,"Agriculture, Forestry and Fishing",Dollars (millions),H06,"Government funding, grants and subsidies",Financial performance,15.0,ANZSIC06 division A,150.0
2023,Level 1,AA,"Agriculture, Forestry and Fishing",Dollars (millions),H07,Non-operating income,Financial performance,2081.0,ANZSIC06 division A,20810.0
2023,Level 1,AA,"Agriculture, Forestry and Fishing",Dollars (millions),H08,Total expenditure,Financial performance,48377.0,ANZSIC06 division A,483770.0
2023,Level 1,AA,"Agriculture, Forestry and Fishing",Dollars (millions),H09,Interest and donations,Financial performance,3641.0,ANZSIC06 division A,36410.0
2023,Level 1,AA,"Agriculture, Forestry and Fishing",Dollars (millions),H10,Indirect taxes,Financial performance,517.0,ANZSIC06 division A,5170.0
2023,Level 1,AA,"Agriculture, Forestry and Fishing",Dollars (millions),H11,Depreciation,Financial performance,2582.0,ANZSIC06 division A,25820.0
2023,Level 1,AA,"Agriculture, Forestry and Fishing",Dollars (millions),H12,Salaries and wages paid,Financial performance,6858.0,ANZSIC06 division A,68580.0
2023,Level 1,AA,"Agriculture, Forestry and Fishing",Dollars (millions),H13,Redundancy and severance,Financial performance,2.0,ANZSIC06 division A,20.0
2023,Level 1,AA,"Agriculture, Forestry and Fishing",Dollars (millions),H19,Purchases and other operating expenses,Financial performance,33623.0,ANZSIC06 division A,336230.0
2023,Level 1,AA,"Agriculture, Forestry and Fishing",Dollars (millions),H20,Non-operating expenses,Financial performance,1156.0,ANZSIC06 division A,11560.0
2023,Level 1,AA,"Agriculture, Forestry and Fishing",Dollars (millions),H21,Opening stocks,Financial performance,14144.0,ANZSIC06 division A,141440.0
2023,Level 1,AA,"Agriculture, Forestry and Fishing",Dollars (millions),H22,Closing stocks,Financial performance,14606.0,ANZSIC06 division A,146060.0
2023,Level 1,AA,"Agriculture, Forestry and Fishing",Dollars (millions),H23,Surplus before income tax,Financial performance,6547.0,ANZSIC06 division A,65470.0
2023,Level 1,AA,"Agriculture, Forestry and Fishing",Dollars (millions),H24,Total assets,Financial position,213128.0,ANZSIC06 division A,2131280.0
2023,Level 1,AA,"Agriculture, Forestry and Fishing",Dollars (millions),H25,Current assets,Financial position,38087.0,ANZSIC06 division A,380870.0
2023,Level 1,AA,"Agriculture, Forestry and Fishing",Dollars (millions),H26,Fixed tangible assets,Financial position,123770.0,ANZSIC06 division A,1237700.0
2023,Level 1,AA,"Agriculture, Forestry and Fishing",Dollars (millions),H29,Other assets,Financial position,51271.0,ANZSIC06 division A,512710.0
2023,Level 1,AA,"Agriculture, Forestry and Fishing",Dollars (millions),H30,Total equity and liabilities,Financial position,213128.0,ANZSIC06 division A,2131280.0
2023,Level 1,AA,"Agriculture, Forestry and Fishing",Dollars (millions),H31,Shareholders funds or owners equity,Financial position,105972.0,ANZSIC06 division A,1059720.0
2023,Level 1,AA,"Agriculture, Forestry and Fishing",Dollars (millions),H32,Current liabilities,Financial position,37086.0,ANZSIC06 division A,370860.0
2023,Level 1,AA,"Agriculture, Forestry and Fishing",Dollars (millions),H33,Other liabilities,Financial position,70070.0,ANZSIC06 division A,700700.0
2023,Level 1,AA,"Agriculture, Forestry and Fishing",Dollars,H34,Total income per employee count,Financial ratios,485000.0,ANZSIC06 division A,4850000.0
2023,Level 1,AA,"Agriculture, Forestry and Fishing",Dollars,H35,Surplus per employee count,Financial ratios,58300.0,ANZSIC06 division A,583000.0
2023,Level 1,AA,"Agriculture, Forestry and Fishing",Percentage,H36,Current ratio,Financial ratios,103.0,ANZSIC06 division A,1030.0
2023,Level 1,AA,"Agriculture, Forestry and Fishing",Percentage,H37,Quick ratio,Financial ratios,63.0,ANZSIC06 division A,630.0
2023,Level 1,AA,"Agriculture, Forestry and Fishing",Percentage,H39,Return on equity,Financial ratios,6.0,ANZSIC06 division A,60.0
2023,Level 1,AA,"Agriculture, Forestry and Fishing",Percentage,H40,Return on total assets,Financial ratios,3.0,ANZSIC06 division A,30.0
2023,Level 1,AA,"Agriculture, Forestry and Fishing",Percentage,H41,Liabilities structure,Financial ratios,50.0,ANZSIC06 division A,500.0
2023,Level 3,AA11,Horticulture and Fruit Growing,Dollars (millions),H01,Total income,Financial performance,6011.0,"ANZSIC06 groups A011, A012, and A013",60110.0
2023,Level 3,AA11,Horticulture and Fruit Growing,Dollars (millions),H04,"Sales, government funding, grants and subsidies",Financial performance,5410.0,"ANZSIC06 groups A011, A012, and A013",54100.0
2023,Level 3,AA11,Horticulture and Fruit Growing,Dollars (millions),H05,"Interest, dividends and donations",Financial performance,193.0,"ANZSIC06 groups A011, A012, and A013",1930.0
2023,Level 3,AA11,Horticulture and Fruit Growing,Dollars (millions),H07,Non-operating income,Financial performance,408.0,"ANZSIC06 groups A011, A012, and A013",4080.0
2023,Level 3,AA11,Horticulture and Fruit Growing,Dollars (millions),H08,Total expenditure,Financial performance,5270.0,"ANZSIC06 groups A011, A012, and A013",52700.0
2023,Level 3,AA11,Horticulture and Fruit Growing,Dollars (millions),H09,Interest and donations,Financial performance,337.0,"ANZSIC06 groups A011, A012, and A013",3370.0
2023,Level 3,AA11,Horticulture and Fruit Growing,Dollars (millions),H10,Indirect taxes,Financial performance,43.0,"ANZSIC06 groups A011, A012, and A013",430.0
2023,Level 3,AA11,Horticulture and Fruit Growing,Dollars (millions),H11,Depreciation,Financial performance,376.0,"ANZSIC06 groups A011, A012, and A013",3760.0
2023,Level 3,AA11,Horticulture and Fruit Growing,Dollars (millions),H12,Salaries and wages paid,Financial performance,977.0,"ANZSIC06 groups A011, A012, and A013",9770.0
2023,Level 3,AA11,Horticulture and Fruit Growing,Dollars (millions),H13,Redundancy and severance,Financial performance,0.0,"ANZSIC06 groups A011, A012, and A013",0.0
2023,Level 3,AA11,Horticulture and Fruit Growing,Dollars (millions),H19,Purchases and other operating expenses,Financial performance,3498.0,"ANZSIC06 groups A011, A012, and A013",34980.0
2023,Level 3,AA11,Horticulture and Fruit Growing,Dollars (millions),H20,Non-operating expenses,Financial performance,39.0,"ANZSIC06 groups A011, A012, and A013",390.0
2023,Level 3,AA11,Horticulture and Fruit Growing,Dollars (millions),H21,Opening stocks,Financial performance,395.0,"ANZSIC06 groups A011, A012, and A013",3950.0
2023,Level 3,AA11,Horticulture and Fruit Growing,Dollars (millions),H22,Closing stocks,Financial performance,438.0,"ANZSIC06 groups A011, A012, and A013",4380.0
2023,Level 3,AA11,Horticulture and Fruit Growing,Dollars (millions),H23,Surplus before income tax,Financial performance,784.0,"ANZSIC06 groups A011, A012, and A013",7840.0
2023,Level 3,AA11,Horticulture and Fruit Growing,Dollars (millions),H24,Total assets,Financial position,21791.0,"ANZSIC06 groups A011, A012, and A013",217910.0
2023,Level 3,AA11,Horticulture and Fruit Growing,Dollars (millions),H25,Current assets,Financial position,3518.0,"ANZSIC06 groups A011, A012, and A013",35180.0
2023,Level 3,AA11,Horticulture and Fruit Growing,Dollars (millions),H26,Fixed tangible assets,Financial position,13836.0,"ANZSIC06 groups A011, A012, and A013",138360.0
2023,Level 3,AA11,Horticulture and Fruit Growing,Dollars (millions),H29,Other assets,Financial position,4438.0,"ANZSIC06 groups A011, A012, and A013",44380.0
2023,Level 3,AA11,Horticulture and Fruit Growing,Dollars (millions),H30,Total equity and liabilities,Financial position,21791.0,"ANZSIC06 groups A011, A012, and A013",217910.0
2023,Level 3,AA11,Horticulture and Fruit Growing,Dollars (millions),H31,Shareholders funds or owners equity,Financial position,10361.0,"ANZSIC06 groups A011, A012, and A013",103610.0
2023,Level 3,AA11,Horticulture and Fruit Growing,Dollars (millions),H32,Current liabilities,Financial position,4237.0,"ANZSIC06 groups A011, A012, and A013",42370.0
2023,Level 3,AA11,Horticulture and Fruit Growing,Dollars (millions),H33,Other liabilities,Financial position,7193.0,"ANZSIC06 groups A011, A012, and A013",71930.0
2023,Level 3,AA11,Horticulture and Fruit Growing,Dollars,H34,Total income per employee count,Financial ratios,243600.0,"ANZSIC06 groups A011, A012, and A013",2436000.0
